method,budget,sample_id,official_score,gt,first_number,leading_digit_match,gt_len,needle_token_count,needle_pattern,needle_prompt_start,needle_prompt_end,mean_layer_needle_recall,max_layer_needle_recall,full_recall_layer_fraction
random,128,16,0.0,9153566,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0,7,7,9153566,1719,1725,0.01020408163265306,0.14285714285714285,0.0
random,128,17,0.0,8973915,1,0,7,7,8973915,13527,13533,0.0,0.0,0.0
random,128,18,0.0,9852897,0,0,7,7,9852897,14947,14953,0.0,0.0,0.0
random,128,19,0.0,4374754,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,7,7,4374754,7696,7702,0.0,0.0,0.0
recency,128,0,0.0,7700828,10,0,7,7,7700828,8920,8926,0.0,0.0,0.0
recency,128,1,0.0,9548432,13,0,7,7,9548432,12162,12168,0.0,0.0,0.0
recency,128,2,0.0,2839607,17,0,7,7,2839607,3784,3790,0.0,0.0,0.0
recency,128,3,0.0,8082668,13,0,7,7,8082668,14680,14686,0.0,0.0,0.0
recency,128,4,0.0,7402509,13,0,7,7,7402509,14680,14686,0.0,0.0,0.0
recency,128,5,0.0,5218028,13,0,7,7,5218028,13625,13631,0.0,0.0,0.0
recency,128,6,0.0,2921859,10,0,7,7,2921859,13217,13223,0.0,0.0,0.0
recency,128,7,0.0,6707197,10,0,7,7,6707197,2776,2782,0.0,0.0,0.0
recency,128,8,0.0,3653446,10,0,7,7,3653446,11178,11184,0.0,0.0,0.0
recency,128,9,0.0,5418934,13,0,7,7,5418934,12329,12335,0.0,0.0,0.0
recency,128,10,0.0,2785277,23,1,7,7,2785277,15400,15406,0.0,0.0,0.0
recency,128,11,0.0,9517169,10,0,7,7,9517169,14991,14997,0.0,0.0,0.0
recency,128,12,0.0,7273233,13,0,7,7,7273233,4000,4006,0.0,0.0,0.0
recency,128,13,0.0,6438436,100,0,7,7,6438436,12039,12045,0.0,0.0,0.0
recency,128,14,0.0,7089806,13,0,7,7,7089806,7576,7582,0.0,0.0,0.0
recency,128,15,0.0,5041154,10,0,7,7,5041154,13959,13965,0.0,0.0,0.0
recency,128,16,0.0,9153566,10,0,7,7,9153566,1719,1725,0.0,0.0,0.0
recency,128,17,0.0,8973915,13,0,7,7,8973915,13527,13533,0.0,0.0,0.0
recency,128,18,0.0,9852897,13,0,7,7,9852897,14947,14953,0.0,0.0,0.0
recency,128,19,0.0,4374754,10,0,7,7,4374754,7696,7702,0.0,0.0,0.0
sink_recent,128,0,0.0,7700828,10,0,7,7,7700828,8920,8926,0.0,0.0,0.0
sink_recent,128,1,0.0,9548432,13,0,7,7,9548432,12162,12168,0.0,0.0,0.0
sink_recent,128,2,0.0,2839607,13,0,7,7,2839607,3784,3790,0.0,0.0,0.0
sink_recent,128,3,0.0,8082668,13,0,7,7,8082668,14680,14686,0.0,0.0,0.0
sink_recent,128,4,0.0,7402509,100,0,7,7,7402509,14680,14686,0.0,0.0,0.0
sink_recent,128,5,0.0,5218028,13,0,7,7,5218028,13625,13631,0.0,0.0,0.0
sink_recent,128,6,0.0,2921859,10,0,7,7,2921859,13217,13223,0.0,0.0,0.0
sink_recent,128,7,0.0,6707197,10,0,7,7,6707197,2776,2782,0.0,0.0,0.0
sink_recent,128,8,0.0,3653446,42,0,7,7,3653446,11178,11184,0.0,0.0,0.0
sink_recent,128,9,0.0,5418934,13,0,7,7,5418934,12329,12335,0.0,0.0,0.0
sink_recent,128,10,0.0,2785277,137,0,7,7,2785277,15400,15406,0.0,0.0,0.0
sink_recent,128,11,0.0,9517169,10,0,7,7,9517169,14991,14997,0.0,0.0,0.0
sink_recent,128,12,0.0,7273233,13,0,7,7,7273233,4000,4006,0.0,0.0,0.0
sink_recent,128,13,0.0,6438436,13,0,7,7,6438436,12039,12045,0.0,0.0,0.0
sink_recent,128,14,0.0,7089806,13,0,7,7,7089806,7576,7582,0.0,0.0,0.0
sink_recent,128,15,0.0,5041154,13,0,7,7,5041154,13959,13965,0.0,0.0,0.0
sink_recent,128,16,0.0,9153566,13,0,7,7,9153566,1719,1725,0.0,0.0,0.0
sink_recent,128,17,0.0,8973915,13,0,7,7,8973915,13527,13533,0.0,0.0,0.0
sink_recent,128,18,0.0,9852897,100,0,7,7,9852897,14947,14953,0.0,0.0,0.0
sink_recent,128,19,0.0,4374754,10,0,7,7,4374754,7696,7702,0.0,0.0,0.0
attention,128,0,0.0,7700828,77008,5,7,7,7700828,8920,8926,0.1173469387755102,0.8571428571428571,0.0
attention,128,1,0.0,9548432,9548,4,7,7,9548432,12162,12168,0.11734693877551018,0.7142857142857143,0.0
attention,128,2,0.0,2839607,2817,2,7,7,2839607,3784,3790,0.02040816326530612,0.14285714285714285,0.0
attention,128,3,0.0,8082668,80826,5,7,7,8082668,14680,14686,0.14285714285714282,0.8571428571428571,0.0
attention,128,4,0.0,7402509,7402,4,7,7,7402509,14680,14686,0.17346938775510207,0.7142857142857143,0.0
attention,128,5,0.0,5218028,5218,4,7,7,5218028,13625,13631,0.11224489795918366,0.8571428571428571,0.0
attention,128,6,0.0,2921859,2921,4,7,7,2921859,13217,13223,0.11734693877551018,0.7142857142857143,0.0
attention,128,7,0.0,6707197,6711,2,7,7,6707197,2776,2782,0.04591836734693877,0.5714285714285714,0.0
attention,128,8,0.0,3653446,3653,4,7,7,3653446,11178,11184,0.1020408163265306,0.8571428571428571,0.0
attention,128,9,0.0,5418934,541893,6,7,7,5418934,12329,12335,0.163265306122449,1.0,0.03571428571428571
attention,128,10,0.0,2785277,278527,6,7,7,2785277,15400,15406,0.13775510204081629,0.8571428571428571,0.0
attention,128,11,0.0,9517169,951,3,7,7,9517169,14991,14997,0.09693877551020406,0.5714285714285714,0.0
attention,128,12,0.0,7273233,727,3,7,7,7273233,4000,4006,0.06632653061224489,0.42857142857142855,0.0
attention,128,13,0.0,6438436,6438,4,7,7,6438436,12039,12045,0.08163265306122447,0.7142857142857143,0.0
attention,128,14,0.0,7089806,708,3,7,7,7089806,7576,7582,0.11734693877551018,1.0,0.03571428571428571
attention,128,15,0.0,5041154,5041,4,7,7,5041154,13959,13965,0.12755102040816324,0.7142857142857143,0.0
attention,128,16,0.0,9153566,9153,4,7,7,9153566,1719,1725,0.06122448979591836,0.5714285714285714,0.0
attention,128,17,0.0,8973915,897,3,7,7,8973915,13527,13533,0.1020408163265306,0.5714285714285714,0.0
attention,128,18,0.0,9852897,9852,4,7,7,9852897,14947,14953,0.17346938775510207,1.0,0.03571428571428571
attention,128,19,0.0,4374754,437,3,7,7,4374754,7696,7702,0.12755102040816324,0.8571428571428571,0.0
snapkv,128,0,0.0,7700828,770,3,7,7,7700828,8920,8926,0.8112244897959184,1.0,0.6428571428571429
snapkv,128,1,0.0,9548432,954,3,7,7,9548432,12162,12168,0.7602040816326531,1.0,0.5
snapkv,128,2,0.0,2839607,2807,2,7,7,2839607,3784,3790,0.5408163265306122,1.0,0.14285714285714285
snapkv,128,3,0.0,8082668,808,3,7,7,8082668,14680,14686,0.8520408163265306,1.0,0.7142857142857143
snapkv,128,4,0.0,7402509,74090509,3,7,7,7402509,14680,14686,0.8571428571428571,1.0,0.75
snapkv,128,5,100.0,5218028,5218028,7,7,7,5218028,13625,13631,0.7346938775510204,1.0,0.5
snapkv,128,6,0.0,2921859,291859,2,7,7,2921859,13217,13223,0.8163265306122449,1.0,0.6785714285714286
snapkv,128,7,0.0,6707197,670,3,7,7,6707197,2776,2782,0.6836734693877551,1.0,0.42857142857142855
snapkv,128,8,0.0,3653446,365446,3,7,7,3653446,11178,11184,0.8061224489795918,1.0,0.6785714285714286
snapkv,128,9,0.0,5418934,5418034,4,7,7,5418934,12329,12335,0.8826530612244898,1.0,0.8214285714285714
snapkv,128,10,0.0,2785277,277,2,7,7,2785277,15400,15406,0.903061224489796,1.0,0.7857142857142857
snapkv,128,11,0.0,9517169,9516951,3,7,7,9517169,14991,14997,0.8061224489795918,1.0,0.6071428571428571
snapkv,128,12,0.0,7273233,723,2,7,7,7273233,4000,4006,0.6581632653061223,1.0,0.2857142857142857
snapkv,128,13,0.0,6438436,6436,3,7,7,6438436,12039,12045,0.7806122448979593,1.0,0.4642857142857143
snapkv,128,14,0.0,7089806,7086,3,7,7,7089806,7576,7582,0.6785714285714286,1.0,0.42857142857142855
snapkv,128,15,0.0,5041154,504154,4,7,7,5041154,13959,13965,0.7806122448979592,1.0,0.6071428571428571
snapkv,128,16,0.0,9153566,915372,4,7,7,9153566,1719,1725,0.6530612244897959,1.0,0.42857142857142855
snapkv,128,17,0.0,8973915,897,3,7,7,8973915,13527,13533,0.7346938775510204,1.0,0.39285714285714285
snapkv,128,18,0.0,9852897,987,2,7,7,9852897,14947,14953,0.8622448979591838,1.0,0.7857142857142857
snapkv,128,19,0.0,4374754,43754375,3,7,7,4374754,7696,7702,0.7755102040816327,1.0,0.5357142857142857
compactor,128,0,0.0,7700828,777,2,7,7,7700828,8920,8926,0.19897959183673475,1.0,0.10714285714285714
compactor,128,1,0.0,9548432,95,2,7,7,9548432,12162,12168,0.21938775510204087,1.0,0.10714285714285714
compactor,128,2,0.0,2839607,281,2,7,7,2839607,3784,3790,0.19387755102040818,1.0,0.14285714285714285
compactor,128,3,0.0,8082668,888,1,7,7,8082668,14680,14686,0.22448979591836743,1.0,0.10714285714285714
compactor,128,4,0.0,7402509,77,1,7,7,7402509,14680,14686,0.22448979591836737,1.0,0.10714285714285714
compactor,128,5,0.0,5218028,101,0,7,7,5218028,13625,13631,0.1938775510204082,1.0,0.10714285714285714
compactor,128,6,0.0,2921859,29,2,7,7,2921859,13217,13223,0.1683673469387755,1.0,0.10714285714285714
compactor,128,7,0.0,6707197,12345,0,7,7,6707197,2776,2782,0.25510204081632665,1.0,0.07142857142857142
compactor,128,8,0.0,3653446,365,3,7,7,3653446,11178,11184,0.22448979591836735,1.0,0.10714285714285714
compactor,128,9,0.0,5418934,17,0,7,7,5418934,12329,12335,0.20408163265306126,1.0,0.10714285714285714
compactor,128,10,0.0,2785277,27,2,7,7,2785277,15400,15406,0.20408163265306123,1.0,0.10714285714285714
compactor,128,11,0.0,9517169,99,1,7,7,9517169,14991,14997,0.20918367346938777,1.0,0.14285714285714285
compactor,128,12,0.0,7273233,7271,3,7,7,7273233,4000,4006,0.17346938775510207,1.0,0.10714285714285714
compactor,128,13,0.0,6438436,61,1,7,7,6438436,12039,12045,0.16326530612244897,1.0,0.10714285714285714
compactor,128,14,0.0,7089806,72,1,7,7,7089806,7576,7582,0.1785714285714286,1.0,0.10714285714285714
compactor,128,15,0.0,5041154,1,0,7,7,5041154,13959,13965,0.17857142857142863,1.0,0.10714285714285714
compactor,128,16,0.0,9153566,153,0,7,7,9153566,1719,1725,0.2244897959183674,1.0,0.10714285714285714
compactor,128,17,0.0,8973915,83,1,7,7,8973915,13527,13533,0.25,1.0,0.10714285714285714
compactor,128,18,0.0,9852897,999,1,7,7,9852897,14947,14953,0.19387755102040824,1.0,0.07142857142857142
compactor,128,19,0.0,4374754,47,1,7,7,4374754,7696,7702,0.17346938775510207,1.0,0.10714285714285714
pyramidkv,128,0,0.0,7700828,778,2,7,7,7700828,8920,8926,0.7908163265306124,1.0,0.6428571428571429
pyramidkv,128,1,0.0,9548432,953,2,7,7,9548432,12162,12168,0.7551020408163264,1.0,0.5
pyramidkv,128,2,0.0,2839607,2807,2,7,7,2839607,3784,3790,0.5255102040816328,1.0,0.14285714285714285
pyramidkv,128,3,0.0,8082668,8008538,2,7,7,8082668,14680,14686,0.8367346938775511,1.0,0.6785714285714286
pyramidkv,128,4,0.0,7402509,7409911,3,7,7,7402509,14680,14686,0.8010204081632654,1.0,0.6071428571428571
pyramidkv,128,5,0.0,5218028,5208528,2,7,7,5218028,13625,13631,0.7499999999999999,1.0,0.5714285714285714
pyramidkv,128,6,0.0,2921859,2959,2,7,7,2921859,13217,13223,0.8010204081632654,1.0,0.6071428571428571
pyramidkv,128,7,0.0,6707197,671111111,2,7,7,6707197,2776,2782,0.6785714285714285,1.0,0.35714285714285715
pyramidkv,128,8,0.0,3653446,3649364,2,7,7,3653446,11178,11184,0.7857142857142857,1.0,0.5714285714285714
pyramidkv,128,9,0.0,5418934,543210,2,7,7,5418934,12329,12335,0.8418367346938777,1.0,0.75
pyramidkv,128,10,0.0,2785277,277,2,7,7,2785277,15400,15406,0.8316326530612246,1.0,0.6428571428571429
pyramidkv,128,11,0.0,9517169,956,2,7,7,9517169,14991,14997,0.7551020408163265,1.0,0.5
pyramidkv,128,12,0.0,7273233,723,2,7,7,7273233,4000,4006,0.6224489795918366,1.0,0.32142857142857145
pyramidkv,128,13,0.0,6438436,6436436,3,7,7,6438436,12039,12045,0.7704081632653061,1.0,0.5714285714285714
pyramidkv,128,14,0.0,7089806,706,2,7,7,7089806,7576,7582,0.6428571428571427,1.0,0.35714285714285715
pyramidkv,128,15,0.0,5041154,501545,2,7,7,5041154,13959,13965,0.7653061224489794,1.0,0.5714285714285714
pyramidkv,128,16,0.0,9153566,916,2,7,7,9153566,1719,1725,0.5816326530612245,1.0,0.2857142857142857
pyramidkv,128,17,0.0,8973915,8973415,4,7,7,8973915,13527,13533,0.7704081632653061,1.0,0.4642857142857143
pyramidkv,128,18,0.0,9852897,987,2,7,7,9852897,14947,14953,0.836734693877551,1.0,0.7142857142857143
pyramidkv,128,19,0.0,4374754,4357189,2,7,7,4374754,7696,7702,0.7448979591836735,1.0,0.42857142857142855
l2_prefill_only,128,0,100.0,7700828,7700828,7,7,7,7700828,8920,8926,0.7653061224489797,1.0,0.5714285714285714
l2_prefill_only,128,1,100.0,9548432,9548432,7,7,7,9548432,12162,12168,0.7806122448979591,1.0,0.5714285714285714
l2_prefill_only,128,2,100.0,2839607,2839607,7,7,7,2839607,3784,3790,0.7397959183673469,1.0,0.4642857142857143
l2_prefill_only,128,3,100.0,8082668,8082668,7,7,7,8082668,14680,14686,0.7397959183673468,1.0,0.5357142857142857
l2_prefill_only,128,4,100.0,7402509,7402509,7,7,7,7402509,14680,14686,0.7806122448979593,1.0,0.6428571428571429
l2_prefill_only,128,5,100.0,5218028,5218028,7,7,7,5218028,13625,13631,0.7397959183673469,1.0,0.5357142857142857
l2_prefill_only,128,6,100.0,2921859,2921859,7,7,7,2921859,13217,13223,0.7244897959183673,1.0,0.5
l2_prefill_only,128,7,100.0,6707197,6707197,7,7,7,6707197,2776,2782,0.75,1.0,0.5
l2_prefill_only,128,8,100.0,3653446,3653446,7,7,7,3653446,11178,11184,0.7602040816326531,1.0,0.5357142857142857
l2_prefill_only,128,9,100.0,5418934,5418934,7,7,7,5418934,12329,12335,0.7704081632653061,1.0,0.5
l2_prefill_only,128,10,100.0,2785277,2785277,7,7,7,2785277,15400,15406,0.7448979591836735,1.0,0.5
l2_prefill_only,128,11,100.0,9517169,9517169,7,7,7,9517169,14991,14997,0.7397959183673469,1.0,0.5
l2_prefill_only,128,12,100.0,7273233,7273233,7,7,7,7273233,4000,4006,0.7653061224489797,1.0,0.5357142857142857
l2_prefill_only,128,13,100.0,6438436,6438436,7,7,7,6438436,12039,12045,0.8112244897959184,1.0,0.6071428571428571
l2_prefill_only,128,14,100.0,7089806,7089806,7,7,7,7089806,7576,7582,0.7448979591836735,1.0,0.5357142857142857
l2_prefill_only,128,15,100.0,5041154,5041154,7,7,7,5041154,13959,13965,0.8010204081632651,1.0,0.5714285714285714
l2_prefill_only,128,16,100.0,9153566,9153566,7,7,7,9153566,1719,1725,0.7602040816326531,1.0,0.5357142857142857
l2_prefill_only,128,17,100.0,8973915,8973915,7,7,7,8973915,13527,13533,0.8061224489795921,1.0,0.5714285714285714
l2_prefill_only,128,18,100.0,9852897,9852897,7,7,7,9852897,14947,14953,0.7346938775510204,1.0,0.42857142857142855
l2_prefill_only,128,19,100.0,4374754,4374754,7,7,7,4374754,7696,7702,0.7602040816326531,1.0,0.5357142857142857
l2_key_prefill_only,128,0,100.0,7700828,7700828,7,7,7,7700828,8920,8926,0.8520408163265307,1.0,0.4642857142857143
l2_key_prefill_only,128,1,100.0,9548432,9548432,7,7,7,9548432,12162,12168,0.8316326530612247,1.0,0.39285714285714285
l2_key_prefill_only,128,2,100.0,2839607,2839607,7,7,7,2839607,3784,3790,0.8010204081632653,1.0,0.5357142857142857
l2_key_prefill_only,128,3,100.0,8082668,8082668,7,7,7,8082668,14680,14686,0.8520408163265306,1.0,0.42857142857142855
l2_key_prefill_only,128,4,100.0,7402509,7402509,7,7,7,7402509,14680,14686,0.8775510204081636,1.0,0.5714285714285714
l2_key_prefill_only,128,5,100.0,5218028,5218028,7,7,7,5218028,13625,13631,0.8367346938775511,1.0,0.42857142857142855
l2_key_prefill_only,128,6,100.0,2921859,2921859,7,7,7,2921859,13217,13223,0.8112244897959185,1.0,0.39285714285714285
l2_key_prefill_only,128,7,100.0,6707197,6707197,7,7,7,6707197,2776,2782,0.8418367346938778,1.0,0.5357142857142857
l2_key_prefill_only,128,8,100.0,3653446,3653446,7,7,7,3653446,11178,11184,0.8673469387755103,1.0,0.4642857142857143
l2_key_prefill_only,128,9,100.0,5418934,5418934,7,7,7,5418934,12329,12335,0.8826530612244899,1.0,0.4642857142857143
l2_key_prefill_only,128,10,100.0,2785277,2785277,7,7,7,2785277,15400,15406,0.8469387755102042,1.0,0.4642857142857143
l2_key_prefill_only,128,11,100.0,9517169,9517169,7,7,7,9517169,14991,14997,0.8775510204081635,1.0,0.5714285714285714
l2_key_prefill_only,128,12,100.0,7273233,7273233,7,7,7,7273233,4000,4006,0.826530612244898,1.0,0.4642857142857143
l2_key_prefill_only,128,13,100.0,6438436,6438436,7,7,7,6438436,12039,12045,0.8673469387755104,1.0,0.5
l2_key_prefill_only,128,14,100.0,7089806,7089806,7,7,7,7089806,7576,7582,0.8775510204081635,1.0,0.5
l2_key_prefill_only,128,15,100.0,5041154,5041154,7,7,7,5041154,13959,13965,0.8877551020408163,1.0,0.4642857142857143
l2_key_prefill_only,128,16,100.0,9153566,9153566,7,7,7,9153566,1719,1725,0.8877551020408163,1.0,0.6428571428571429
l2_key_prefill_only,128,17,100.0,8973915,8973915,7,7,7,8973915,13527,13533,0.8979591836734696,1.0,0.5
l2_key_prefill_only,128,18,100.0,9852897,9852897,7,7,7,9852897,14947,14953,0.816326530612245,1.0,0.42857142857142855
l2_key_prefill_only,128,19,100.0,4374754,4374754,7,7,7,4374754,7696,7702,0.8673469387755102,1.0,0.5357142857142857
l2_leverage,128,0,100.0,7700828,7700828,7,7,7,7700828,8920,8926,0.14285714285714282,0.42857142857142855,0.0
l2_leverage,128,1,100.0,9548432,9548432,7,7,7,9548432,12162,12168,0.14285714285714282,0.42857142857142855,0.0
l2_leverage,128,2,100.0,2839607,2839607,7,7,7,2839607,3784,3790,0.08163265306122448,0.42857142857142855,0.0
l2_leverage,128,3,100.0,8082668,8082668,7,7,7,8082668,14680,14686,0.12244897959183672,0.5714285714285714,0.0
l2_leverage,128,4,100.0,7402509,7402509,7,7,7,7402509,14680,14686,0.10714285714285712,0.5714285714285714,0.0
l2_leverage,128,5,100.0,5218028,5218028,7,7,7,5218028,13625,13631,0.11224489795918365,0.42857142857142855,0.0
l2_leverage,128,6,100.0,2921859,2921859,7,7,7,2921859,13217,13223,0.12244897959183669,0.42857142857142855,0.0
l2_leverage,128,7,100.0,6707197,6707197,7,7,7,6707197,2776,2782,0.09183673469387753,0.42857142857142855,0.0
l2_leverage,128,8,100.0,3653446,3653446,7,7,7,3653446,11178,11184,0.08673469387755102,0.5714285714285714,0.0
l2_leverage,128,9,100.0,5418934,5418934,7,7,7,5418934,12329,12335,0.10714285714285711,0.2857142857142857,0.0
l2_leverage,128,10,100.0,2785277,2785277,7,7,7,2785277,15400,15406,0.17857142857142855,0.5714285714285714,0.0
l2_leverage,128,11,100.0,9517169,9517169,7,7,7,9517169,14991,14997,0.09693877551020406,0.7142857142857143,0.0
l2_leverage,128,12,100.0,7273233,7273233,7,7,7,7273233,4000,4006,0.09693877551020406,0.42857142857142855,0.0
l2_leverage,128,13,100.0,6438436,6438436,7,7,7,6438436,12039,12045,0.14285714285714282,0.5714285714285714,0.0
l2_leverage,128,14,100.0,7089806,7089806,7,7,7,7089806,7576,7582,0.1581632653061224,0.42857142857142855,0.0
l2_leverage,128,15,100.0,5041154,5041154,7,7,7,5041154,13959,13965,0.12244897959183672,0.42857142857142855,0.0
l2_leverage,128,16,100.0,9153566,9153566,7,7,7,9153566,1719,1725,0.14285714285714282,0.5714285714285714,0.0
l2_leverage,128,17,100.0,8973915,8973915,7,7,7,8973915,13527,13533,0.13265306122448978,0.5714285714285714,0.0
l2_leverage,128,18,100.0,9852897,9852897,7,7,7,9852897,14947,14953,0.08673469387755099,0.42857142857142855,0.0
l2_leverage,128,19,100.0,4374754,4374754,7,7,7,4374754,7696,7702,0.08673469387755099,0.2857142857142857,0.0
l1_prefill_only,128,0,100.0,7700828,7700828,7,7,7,7700828,8920,8926,0.7091836734693879,1.0,0.39285714285714285
l1_prefill_only,128,1,100.0,9548432,9548432,7,7,7,9548432,12162,12168,0.673469387755102,1.0,0.32142857142857145
l1_prefill_only,128,2,100.0,2839607,2839607,7,7,7,2839607,3784,3790,0.6326530612244898,1.0,0.25
l1_prefill_only,128,3,100.0,8082668,8082668,7,7,7,8082668,14680,14686,0.6581632653061223,1.0,0.35714285714285715
l1_prefill_only,128,4,100.0,7402509,7402509,7,7,7,7402509,14680,14686,0.6785714285714286,1.0,0.32142857142857145
l1_prefill_only,128,5,100.0,5218028,5218028,7,7,7,5218028,13625,13631,0.6683673469387754,1.0,0.32142857142857145
l1_prefill_only,128,6,100.0,2921859,2921859,7,7,7,2921859,13217,13223,0.6530612244897959,1.0,0.21428571428571427
l1_prefill_only,128,7,100.0,6707197,6707197,7,7,7,6707197,2776,2782,0.6581632653061227,1.0,0.32142857142857145
l1_prefill_only,128,8,100.0,3653446,3653446,7,7,7,3653446,11178,11184,0.6887755102040817,1.0,0.32142857142857145
l1_prefill_only,128,9,100.0,5418934,5418934,7,7,7,5418934,12329,12335,0.6581632653061226,1.0,0.32142857142857145
l1_prefill_only,128,10,100.0,2785277,2785277,7,7,7,2785277,15400,15406,0.6836734693877551,1.0,0.35714285714285715
l1_prefill_only,128,11,100.0,9517169,9517169,7,7,7,9517169,14991,14997,0.6683673469387755,1.0,0.35714285714285715
l1_prefill_only,128,12,100.0,7273233,7273233,7,7,7,7273233,4000,4006,0.7244897959183675,1.0,0.42857142857142855
l1_prefill_only,128,13,100.0,6438436,6438436,7,7,7,6438436,12039,12045,0.7040816326530611,1.0,0.35714285714285715
l1_prefill_only,128,14,100.0,7089806,7089806,7,7,7,7089806,7576,7582,0.6683673469387754,1.0,0.32142857142857145
l1_prefill_only,128,15,100.0,5041154,5041154,7,7,7,5041154,13959,13965,0.6479591836734694,1.0,0.25
l1_prefill_only,128,16,100.0,9153566,9153566,7,7,7,9153566,1719,1725,0.6734693877551022,1.0,0.35714285714285715
l1_prefill_only,128,17,100.0,8973915,8973915,7,7,7,8973915,13527,13533,0.7295918367346939,1.0,0.4642857142857143
